SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
7,14,14,14,14,15	3,5,5,5,5,5	4,5,5,5,5,5	0.06805659830570221,0.024760901927947998,0.024839604273438454,0.024839604273438454,0.024839604273438454,0.01449613831937313	109.56425476074219,94.72630310058594,94.72630310058594,94.72630310058594,94.72630310058594,93.51702117919922	6429.json
6,6,6,6	1,1,1,1	0,0,0,0	0.5704292058944702,0.5704292058944702,0.5704292058944702,0.7204705476760864	114.97969055175781,114.97969055175781,114.97969055175781,115.48157501220703	9850.json
7	2	2	0.5622830986976624	111.65786743164062	8501.json
39,38,38,38,43,46,48,48,46,46,46,46,47,63,43,36,36,36,36,40,40	10,9,9,9,12,13,13,13,12,12,12,12,12,16,10,7,7,7,7,8,8	25,24,26,26,29,30,30,30,29,29,29,29,29,36,27,19,19,19,19,19,19	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025484461802989244,0.0022930288687348366,0.0022930288687348366,0.0022930288687348366,6.992891430854797E-4,4.6189551358111203E-4	71.70255279541016,73.4795150756836,73.3770523071289,73.27656555175781,70.01875305175781,68.47150421142578,68.01282501220703,68.03509521484375,69.06736755371094,69.06736755371094,69.06736755371094,69.06736755371094,68.69620513916016,60.840274810791016,71.17285919189453,75.42206573486328,75.42206573486328,75.42206573486328,75.42206573486328,73.1166763305664,72.82533264160156	9362.json
61,25,27,27,28,29,29,29,29,28,30,31,31,33,32,32,33,33,33,33	15,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7	37,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12	0.0,0.01632811315357685,0.016638558357954025,0.016455480828881264,0.01036054641008377,0.010077586397528648,0.01070419605821371,0.013804181478917599,0.014880873262882233,0.014245916157960892,0.015056264586746693,0.008510692045092583,0.004459686111658812,0.007306670770049095,0.005576326046139002,0.005576326046139002,0.005174377933144569,0.005174377933144569,0.005174377933144569,0.003924909047782421	58.8835563659668,81.02677154541016,79.37318420410156,79.3481216430664,78.68587493896484,78.04529571533203,78.09269714355469,78.11602020263672,78.11602020263672,78.8583755493164,77.6902084350586,77.15901184082031,76.89051055908203,75.07637786865234,75.66265106201172,75.66265106201172,75.14230346679688,75.14230346679688,75.14230346679688,74.98981475830078	5544.json
27,27,28,30,31,31,31,33	3,3,4,4,4,4,4,4	2,2,2,2,2,2,2,2	8.026481955312192E-4,0.0011572971707209945,8.102264255285263E-4,5.515174125321209E-4,1.8342594557907432E-4,1.8342594557907432E-4,1.8342594557907432E-4,1.2607785174623132E-4	85.04592895507812,85.38575744628906,84.125732421875,81.83331298828125,80.86090850830078,80.86090850830078,80.86090850830078,79.44414520263672	8460.json
12,13,13,11,11	3,3,3,3,3	2,2,2,2,2	0.07440711557865143,0.03348434343934059,0.03536180034279823,0.14018577337265015,0.14018577337265015	100.1783676147461,98.04901885986328,98.04901885986328,102.11901092529297,102.11901092529297	1377.json
1	1	0	0.9658408164978027	152.05810546875	12389.json
3,3	1,1	0,0	0.9910973906517029,0.9910973906517029	130.18594360351562,130.18594360351562	14289.json
6	1	0	0.3965403735637665	115.94755554199219	8920.json
10,14,14,14,14,14	3,4,4,4,4,4	3,3,3,3,3,3	0.0457460880279541,0.037341125309467316,0.04039962217211723,0.04039962217211723,0.012441957369446754,0.026010824367403984	104.04545593261719,96.74555206298828,96.74555206298828,96.74555206298828,95.64529418945312,96.86936950683594	1361.json
14,15,15,14,14,162,163,164,163,169,167,157,156,171,170,172,167,166,167,166,166,167,184,176,176,176,176,179,196,197,144,147,147,147,148,149,149,147,147,147,147,155,147	3,3,3,3,3,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,41,41,41,41,41,41,41,32,33,33,33,33,34,34,33,33,33,33,34,33	4,4,4,4,4,87,87,88,88,92,92,92,92,93,93,93,93,93,93,93,93,93,93,88,88,88,88,88,88,92,79,83,83,83,83,85,85,84,84,84,84,87,84	0.002950598020106554,0.0035039796493947506,0.002265786984935403,0.0016111680306494236,0.0013649387983605266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	94.40034484863281,93.01854705810547,92.89459991455078,94.27130889892578,94.05616760253906,33.72259521484375,33.615482330322266,33.477447509765625,33.658599853515625,32.617576599121094,33.03823471069336,34.038551330566406,34.16819763183594,32.617679595947266,32.71920394897461,32.523216247558594,33.001129150390625,33.10493850708008,33.001129150390625,33.1190071105957,33.007015228271484,32.79570770263672,31.225248336791992,32.95668029785156,32.93571853637695,32.93571853637695,32.90827941894531,32.52610397338867,30.5555419921875,30.40329933166504,39.150691986083984,38.4254035949707,38.4254035949707,38.41707229614258,38.24604034423828,37.78607177734375,37.78607177734375,38.309539794921875,38.309539794921875,38.309539794921875,38.309539794921875,36.88818359375,38.309539794921875	5426.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.9925823211669922,0.9925823211669922,0.9928944706916809,0.9562724828720093,0.9624009728431702	132.25152587890625,132.25152587890625,132.25152587890625,131.28770446777344,131.28770446777344	13963.json
3	1	0	0.6758957505226135	130.18594360351562	14538.json
10,10,10,12	3,3,3,3	4,4,4,4	0.02533693052828312,0.02533693052828312,0.02533693052828312,0.033742185682058334	102.3057632446289,102.3057632446289,102.3057632446289,99.2823486328125	11116.json
10,3,3,3,3	4,1,1,1,1	4,0,0,0,0	0.7513765096664429,0.9061159491539001,0.9529536366462708,0.9529536366462708,0.9529536366462708	105.03662872314453,130.7338104248047,130.7338104248047,130.7338104248047,130.7338104248047	8983.json
24,24,24,24,5,24,24	3,3,3,3,1,3,3	3,3,3,3,0,3,3	2.281291817780584E-4,1.5491466911043972E-4,1.8047729099635035E-4,1.8047729099635035E-4,0.28475773334503174,1.8047729099635035E-4,1.283115561818704E-4	85.7165756225586,85.7165756225586,85.7165756225586,85.7165756225586,118.29083251953125,85.7165756225586,85.46314239501953	7131.json
3	1	0	0.4208180606365204	134.26058959960938	3131.json
3,6,6,8,23,8,8,8	2,2,2,2,4,2,2,2	2,2,2,2,7,2,2,2	0.5796393156051636,0.8245353102684021,0.8135334253311157,0.6845744848251343,2.6292260736227036E-4,0.6845744848251343,0.6845744848251343,0.6845744848251343	130.0784149169922,113.6710433959961,113.6710433959961,108.89630126953125,84.15385437011719,108.89630126953125,108.89630126953125,108.89630126953125	7193.json
24,24,29,29,26,26	6,6,7,7,7,7	20,18,18,18,14,14	0.010977761819958687,0.008529514074325562,0.005147441290318966,0.01029504556208849,0.03141520172357559,0.03141520172357559	82.34805297851562,82.53378295898438,78.66616821289062,78.7242660522461,81.30310821533203,81.30310821533203	325.json
3,3	1,1	0,0	0.9029796719551086,0.9029796719551086	131.9385528564453,131.9385528564453	8966.json
4,7,7,7,7,7,7,6,3	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0.3502340316772461,0.0297560952603817,0.03208029642701149,0.032619692385196686,0.031093373894691467,0.031093373894691467,0.031093373894691467,0.061426177620887756,0.6179205179214478	125.05540466308594,112.51061248779297,112.38530731201172,112.26294708251953,112.26294708251953,112.26294708251953,112.26294708251953,115.64551544189453,131.28770446777344	8757.json
11,13	1,1	0,0	0.02322486601769924,0.024475371465086937	104.3805160522461,101.67424011230469	13683.json
4,12,9,9,9,9,9,9,3	2,3,2,2,2,2,2,2,1	2,5,3,3,3,3,3,3,0	0.87837153673172,0.16250883042812347,0.2561013400554657,0.2561013400554657,0.25975099205970764,0.19228976964950562,0.19228976964950562,0.19228976964950562,0.4887199401855469	124.45625305175781,99.85326385498047,106.55463409423828,106.55463409423828,106.55463409423828,106.19174194335938,106.19174194335938,106.19174194335938,129.93223571777344	11712.json
13	3	6	0.9049473404884338	97.89183807373047	14499.json
7,33,33,19,19,17,18,18,19,23,24,24,23,24,24,24,21,20,20,20,20,20,20	2,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4	2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7	0.6679031252861023,0.0,0.0,0.0018438742263242602,0.0028829965740442276,0.0034240896347910166,0.00337746599689126,0.0028578147757798433,0.0028403629548847675,0.001998464809730649,9.643059456720948E-4,0.0010159818921238184,0.0017790041165426373,0.0016184853157028556,0.0016184853157028556,0.0016184853157028556,0.00208488991484046,0.006284799892455339,0.006284799892455339,0.006284799892455339,0.006553008686751127,0.0045522283762693405,0.00482295174151659	111.07701873779297,76.96737670898438,76.93131256103516,89.41226959228516,89.53851318359375,91.38140869140625,90.40707397460938,90.26459503173828,89.34207153320312,84.98946380615234,83.51448822021484,83.51448822021484,84.58417510986328,83.89470672607422,83.89470672607422,83.89470672607422,87.12708282470703,88.3922119140625,88.3922119140625,88.3922119140625,88.35520935058594,88.3922119140625,88.3922119140625	11826.json
3,4,4,8,9,10,4	1,1,1,1,1,2,1	0,0,0,0,0,2,0	0.5199046730995178,3.5638647386804223E-4,0.0,0.007864156737923622,0.002471245126798749,0.09286210685968399,0.04666542634367943	131.43582153320312,121.47811889648438,121.14502716064453,109.29756164550781,106.06549835205078,104.07876586914062,125.15235137939453	2375.json
16,16,16,16	2,2,2,2	6,6,6,6	0.002279536332935095,0.0023683200124651194,0.002686235122382641,0.002686235122382641	92.15188598632812,92.15188598632812,92.11488342285156,92.11488342285156	966.json
28,28,28,27	5,5,5,5	8,8,8,8	2.056466619251296E-4,2.056466619251296E-4,1.944771793205291E-4,1.2937480641994625E-4	79.59590148925781,79.59590148925781,79.59590148925781,79.70393371582031	370.json
7	2	2	0.7539362907409668	112.77070617675781	2199.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9815807342529297,0.996042013168335,0.996042013168335,0.9961535930633545	131.28770446777344,131.46876525878906,131.46876525878906,131.1535186767578	13270.json
3,3,3	1,1,1	0,0,0	0.987599790096283,0.987599790096283,0.9881191253662109	132.61029052734375,132.61029052734375,132.61029052734375	13587.json
15,16,15,12,12,12,12	3,3,3,2,2,2,2	4,4,4,0,0,0,0	0.01914134994149208,0.027302203699946404,0.025329047814011574,0.04122279956936836,0.03349149599671364,0.03349149599671364,0.03349149599671364	93.17515563964844,92.12963104248047,93.39895629882812,99.12889862060547,99.30840301513672,99.30840301513672,99.30840301513672	9046.json
41,43	1,2	0,2	0.0,0.0	71.28458404541016,69.88993072509766	11932.json
7,7,7,7,7,7,7	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.010091839358210564,0.010258940048515797,0.009770333766937256,0.009770333766937256,0.009770333766937256,0.009770333766937256,0.009005258791148663	110.09518432617188,110.09518432617188,110.04309844970703,110.04309844970703,110.04309844970703,110.04309844970703,110.04309844970703	6321.json
3,3,14	1,1,5	0,0,8	0.9190613031387329,0.9944002628326416,0.43010854721069336	130.18594360351562,131.1535186767578,95.7184066772461	13116.json
