MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
11371.json	io.netty.handler.codec.http2.HpackEncoder.encodeHeaders(int, io.netty.buffer.ByteBuf, io.netty.handler.codec.http2.Http2Headers, io.netty.handler.codec.http2.Http2HeadersEncoder.SensitivityDetector)	4791.json,11233.json	io.netty.handler.codec.http2.HpackDecoderBenchmark.getSerializedHeaders(io.netty.handler.codec.http2.Http2Headers, boolean),io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder.encodeHeaders(int, io.netty.handler.codec.http2.Http2Headers, io.netty.buffer.ByteBuf)	false	953
3140.json	io.netty.util.internal.SocketUtils.localSocketAddress(java.net.ServerSocket)	6789.json	io.netty.channel.socket.oio.OioServerSocketChannel.localAddress0()	true	521
6797.json	io.netty.channel.socket.oio.OioServerSocketChannel.doDisconnect()	noCall	noCall	true	2246
8727.json	io.netty.handler.codec.http.multipart.DefaultHttpDataFactory.createAttribute(io.netty.handler.codec.http.HttpRequest, java.lang.String, java.lang.String)	noCall	noCall	true	2059
220.json	io.netty.channel.sctp.DefaultSctpServerChannelConfig.setWriteBufferWaterMark(io.netty.channel.WriteBufferWaterMark)	noCall	noCall	true	816
3318.json	io.netty.util.internal.PromiseNotificationUtil.tryCancel(io.netty.util.concurrent.Promise<?>, io.netty.util.internal.logging.InternalLogger)	2429.json,6166.json	io.netty.util.concurrent.PromiseNotifier.operationComplete(F),io.netty.channel.DelegatingChannelPromiseNotifier.operationComplete(io.netty.channel.ChannelFuture)	true	657
15626.json	io.netty.buffer.AbstractByteBuf.maxWritableBytes()	15331.json	io.netty.buffer.WrappedCompositeByteBuf.maxWritableBytes()	true	2019
16591.json	io.netty.buffer.AbstractUnpooledSlicedByteBuf.memoryAddress()	noCall	noCall	true	1936
15769.json	io.netty.buffer.AbstractByteBuf.toString(java.nio.charset.Charset)	15384.json	io.netty.buffer.WrappedCompositeByteBuf.toString(java.nio.charset.Charset)	true	3608
6140.json	io.netty.channel.embedded.EmbeddedChannelId.asShortText()	noCall	noCall	true	1452
17016.json	io.netty.buffer.UnpooledHeapByteBuf.getShortLE(int)	noCall	noCall	true	803
19123.json	io.netty.example.http2.tiles.Http1RequestHandler.Anonymous-bfa73684-4b2c-41d3-a611-134b9b32a200.run()	noCall	noCall	true	1134
19540.json	io.netty.handler.codec.xml.XmlNamespace.uri()	noCall	noCall	true	1221
8751.json	io.netty.handler.codec.http.multipart.MemoryFileUpload.retain(int)	noCall	noCall	true	1957
4541.json	io.netty.microbench.handler.ssl.AbstractSslHandlerBenchmark.destroySslHandlers()	4528.json	io.netty.microbench.handler.ssl.AbstractSslHandlerThroughputBenchmark.tearDown()	true	475
10644.json	io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.notifyParentChanged(java.util.List<io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.ParentChangedEvent>)	10635.json,10650.json,10631.json	io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.updateDependencyTree(int, int, short, boolean),io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.State.removeChild(io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.State),io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.Anonymous-2b939e69-8314-498c-8912-23b7bf851d6e.onStreamAdded(io.netty.handler.codec.http2.Http2Stream)	true	1248
10686.json	io.netty.handler.codec.http2.Http2FrameListenerDecorator.onDataRead(io.netty.channel.ChannelHandlerContext, int, io.netty.buffer.ByteBuf, int, boolean)	noCall	noCall	true	1248
4511.json	io.netty.microbench.headers.HeadersBenchmark.SlowHeaders.remove(java.lang.CharSequence)	noCall	noCall	true	960
10195.json	io.netty.handler.codec.http2.Http2MultiplexCodecBuilder.maxReservedStreams(int)	noCall	noCall	true	318
18085.json	io.netty.buffer.SimpleLeakAwareByteBuf.slice()	16802.json	io.netty.buffer.AdvancedLeakAwareByteBuf.slice()	true	1661
10134.json	io.netty.handler.codec.http2.Http2InboundFrameLogger.readFrame(io.netty.channel.ChannelHandlerContext, io.netty.buffer.ByteBuf, io.netty.handler.codec.http2.Http2FrameListener)	noCall	noCall	true	1248
18891.json	io.netty.example.memcache.binary.MemcacheClient.main(java.lang.String[])	noCall	noCall	true	1536
11296.json	io.netty.handler.codec.http2.InboundHttp2ToHttpAdapterBuilder.maxContentLength(int)	19120.json,19140.json	io.netty.example.http2.tiles.Http2OrHttpHandler.configureHttp2(io.netty.channel.ChannelHandlerContext),io.netty.example.http2.helloworld.client.Http2ClientInitializer.initChannel(io.netty.channel.socket.SocketChannel)	true	920
1894.json	io.netty.handler.codec.dns.DnsResponseCode.toString()	noCall	noCall	true	1476
13308.json	io.netty.handler.codec.DatagramPacketEncoder.read(io.netty.channel.ChannelHandlerContext)	noCall	noCall	true	833
15541.json	io.netty.buffer.WrappedCompositeByteBuf.writeBytes(java.nio.ByteBuffer)	17189.json	io.netty.buffer.AdvancedLeakAwareCompositeByteBuf.writeBytes(java.nio.ByteBuffer)	true	888
