MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
2254.json	org.springframework.boot.autoconfigure.web.ServerProperties.Tomcat.Resource.setCacheTtl(java.time.Duration)	noCall	noCall	true	94
8452.json	org.springframework.boot.actuate.env.EnvironmentEndpoint.environment(java.lang.String)	noCall	noCall	true	174
1491.json	org.springframework.boot.autoconfigure.condition.ConditionMessage.Builder.didNotFind(java.lang.String, java.lang.String)	1490.json,null	org.springframework.boot.autoconfigure.condition.ConditionMessage.Builder.didNotFind(java.lang.String),org.springframework.boot.autoconfigure.condition.OnClassCondition.StandardOutcomesResolver.getOutcome(java.util.Set<java.lang.String>)	false	512
11955.json	org.springframework.boot.loader.jar.StringSequence.hashCode()	noCall	noCall	true	41
6353.json	org.springframework.boot.jdbc.DataSourceBuilder.getType()	6344.json	org.springframework.boot.jdbc.DataSourceBuilder.build()	true	1360
5350.json	org.springframework.boot.web.server.AbstractConfigurableWebServerFactory.setSsl(org.springframework.boot.web.server.Ssl)	noCall	noCall	true	342
1394.json	org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport.getParent()	noCall	noCall	true	1526
8926.json	org.springframework.boot.cli.command.install.UninstallCommand.getUsageHelp()	noCall	noCall	true	1206
2819.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.getDriverClassName()	noCall	noCall	true	1721
9245.json	org.springframework.boot.autoconfigure.UserServiceAutoConfiguration.userService(org.springframework.boot.autoconfigure.UserServiceAutoConfiguration.UserProperties)	noCall	noCall	true	51
2057.json	org.springframework.boot.autoconfigure.web.reactive.error.ErrorWebFluxAutoConfiguration.errorWebExceptionHandler(org.springframework.boot.web.reactive.error.ErrorAttributes)	noCall	noCall	true	108
833.json	org.springframework.boot.autoconfigure.jackson.JacksonProperties.setLocale(java.util.Locale)	noCall	noCall	true	920
7718.json	org.springframework.boot.actuate.web.trace.InMemoryHttpTraceRepository.add(org.springframework.boot.actuate.web.trace.HttpTrace)	noCall	noCall	true	1738
4747.json	org.springframework.boot.origin.OriginTrackedValue.OriginTrackedCharSequence.length()	noCall	noCall	true	332
2810.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.setBeanClassLoader(java.lang.ClassLoader)	noCall	noCall	true	1610
6336.json	org.springframework.boot.jdbc.EmbeddedDatabaseConnection.getUrl(java.lang.String)	2825.json	org.springframework.boot.autoconfigure.jdbc.DataSourceProperties.determineUrl()	true	1610
9673.json	org.springframework.boot.devtools.autoconfigure.RemoteDevToolsProperties.Proxy.setPort(java.lang.Integer)	noCall	noCall	true	853
1228.json	org.springframework.boot.autoconfigure.template.AbstractTemplateViewResolverProperties.isExposeRequestAttributes()	1238.json	org.springframework.boot.autoconfigure.template.AbstractTemplateViewResolverProperties.applyToMvcViewResolver(java.lang.Object)	true	1358
6499.json	org.springframework.boot.logging.DeferredLog.info(java.lang.Object, java.lang.Throwable)	noCall	noCall	true	976
920.json	org.springframework.boot.autoconfigure.flyway.FlywayProperties.setUser(java.lang.String)	noCall	noCall	true	1347
